"group","n","estimate","bootstrap_variance","SRS_variance","bootstrap_SE","lower","upper"
"Female;75+",98,113.459473450002,1910.21274268244,527.721753607818,43.7059806283126,27.7957514185092,199.123195481495
"Male;60-69;Farming, forestry, or fishing;Rural",3771,190.767282432828,201.061153132506,22.6176314171122,14.1796034194369,162.975259730732,218.559305134924
"Female;60-69;Farming, forestry, or fishing",1375,175.075807282711,235.026931254776,44.9933076496445,15.3305880922676,145.027854621867,205.123759943555
"Male;60-69;Other;Urban",1212,567.299574786855,7208.78683327922,2496.03227576117,84.9045748666067,400.886608048306,733.712541525404
"Male;70-79;Farming, forestry, or fishing",1037,80.3375352361104,275.364739294289,47.2226713462396,16.5941176111985,47.8130647181613,112.86200575406
"Male;60-69;Other;Rural",1023,243.127582750665,1355.92156286868,1965.58194096474,36.8228402335925,170.954815892824,315.300349608506
"Male;70-79;Other",709,351.579191599934,12403.7499397631,681.575341954294,111.372123710393,133.289829127564,569.868554072305
"Female;60-69;Other",511,460.324227816682,20381.7048526021,2891.88185776093,142.764508378666,180.505791394497,740.142664238867
"Male;60-69;Farming, forestry, or fishing;Urban",442,168.732491328792,702.85950838995,295.899819308162,26.5114976640315,116.76995590729,220.695026750294
"Male;60-69;Construction;Rural",404,863.124609821181,1526.72963700359,924.682911201962,39.0733878362702,786.540769662091,939.708449980271
"Male;60-69;Manufacturing;Rural",363,328.012893507771,5406.15474293124,694.741607330659,73.5265580789094,183.900839673109,472.124947342433
"Female;70+",356,193.166086514868,1213.60258930305,316.566540271804,34.8367993550362,124.885959778997,261.446213250739
"Male;60-69;Manufacturing;Urban",333,696.882085134044,16019.2877519822,12732.5478598646,126.567324977587,448.810128177973,944.954042090115
"Female;60-69;Manufacturing or Construction",297,271.836706412237,1533.2551724794,457.172027935496,39.1568023781233,195.089373751115,348.584039073359
"Male;60-69;Construction;Urban",175,913.150033489406,5839.19843019121,7232.79276678395,76.4146480080306,763.377323393666,1062.92274358515
"Male;Under 60;Other",53325,1477.25130798637,401.62443252624,314.272935476854,20.0405696657116,1437.97179144158,1516.53082453116
"Male;Under 60;Farming, forestry, or fishing",31067,286.840180931758,24.3257785402442,10.4004524618181,4.93211704445912,277.173231524618,296.507130338898
"Female;Under 60;Farming, forestry, or fishing",18724,196.458799947482,19.6420876517441,4.51671356116881,4.43193949098407,187.772198545153,205.145401349811
"Male;Under 60;Construction",15423,1016.20316697052,124.628478617827,61.6765541649817,11.1637125821936,994.322290309421,1038.08404363162
"Male;Under 60;Manufacturing",14033,1197.11149167663,1097.70938310355,340.753762344651,33.1316975584341,1132.1733644621,1262.04961889116
"Female;Under 60;Other",11518,1460.89216548219,1774.96505555787,526.275752083012,42.1303341496109,1378.31671054895,1543.46762041543
"Female;Under 60;Manufacturing",5324,237.465096173006,209.68376610215,81.6783201284961,14.4804615293212,209.083391575537,265.846800770475
"Male;60-64;Farming, forestry, or fishing",2575,196.280616257732,266.678292048164,36.7979927233354,16.3302875678343,164.273252624777,228.287979890687
"Female;Under 60;Construction",2182,688.170686568423,196.528439427212,209.913938853802,14.0188601329499,660.693720707841,715.647652429005
"Male;60-64;Other",1467,472.970991464753,4181.96571597081,2105.31102896154,64.6681197806988,346.221476694583,599.720506234923
"Male;60-64;Manufacturing",457,566.9044629698,8479.64715615197,7026.82406356208,92.0849996261713,386.417863702504,747.391062237096
"Male;60-64;Construction",399,843.813448465122,1893.34665189086,1926.86310359089,43.5126033683444,758.528745863167,929.098151067077
